Column1;;Column1
" ""okes Benešov""";;" ""Benešov"""
" ""okres Beroun""";;" ""Beroun"""
" ""okres Blansko""";;" ""Blansko"""
" ""okres Brno-mìsto""";;" ""Brno-mìsto"""
" ""okres Brno-venkov""";;" ""Brno-venkov"""
" ""okres Bruntál""";;" ""Bruntál"""
" ""okres Bøeclav""";;" ""Bøeclav"""
" ""okres Èeská Lípa""";;" ""Èeská Lípa"""
" ""okres Èeský Krumlov""";;" ""Èeský Krumlov"""
" ""okres Dìèín""";;" ""Dìèín"""
" ""okres Domažlice""";;" ""Domažlice"""
" ""okres Frýdek-Místek""";;" ""Frýdek-Místek"""
" ""okres Havlíèkùv Brod""";;" ""Havlíèkùv Brod"""
" ""okres Hodonín""";;" ""Hodonín"""
" ""okres Hradec Králové""";;" ""Hradec Králové"""
" ""okres Cheb""";;" ""Cheb"""
" ""okres Chomutov""";;" ""Chomutov"""
" ""okres Chrudim""";;" ""Chrudim"""
" ""okres Jablonec nad Nisou""";;" ""Jablonec nad Nisou"""
" ""okres Jeseník""";;" ""Jeseník"""
" ""okres Jièín""";;" ""Jièín"""
" ""okres Jihlava""";;" ""Jihlava"""
" ""okres Jindøichùv Hradec""";;" ""Jindøichùv Hradec"""
" ""okres Karlovy Vary""";;" ""Karlovy Vary"""
" ""okres Karviná""";;" ""Karviná"""
" ""okres Kladno""";;" ""Kladno"""
" ""okres Klatovy""";;" ""Klatovy"""
" ""okres Kolín""";;" ""Kolín"""
" ""okres Kromìøíž""";;" ""Kromìøíž"""
" ""okres Kutná Hora""";;" ""Kutná Hora"""
" ""okres Liberec""";;" ""Liberec"""
" ""okres Litomìøice""";;" ""Litomìøice"""
" ""okres Louny""";;" ""Louny"""
" ""okres Mìlník""";;" ""Mìlník"""
" ""okres Mladá Boleslav""";;" ""Mladá Boleslav"""
" ""okres Most""";;" ""Most"""
" ""okres Náchod""";;" ""Náchod"""
" ""okres Nový Jièín""";;" ""Nový Jièín"""
" ""okres Nymburk""";;" ""Nymburk"""
" ""okres Olomouc""";;" ""Olomouc"""
" ""okres Opava""";;" ""Opava"""
" ""okres Ostrava-mìsto""";;" ""Ostrava-mìsto"""
" ""okres Pardubice""";;" ""Pardubice"""
" ""okres Pelhøimov""";;" ""Pelhøimov"""
" ""okres Písek""";;" ""Písek"""
" ""okres Plzeò-jih""";;" ""Plzeò-jih"""
" ""okres Plzeò-mìsto""";;" ""Plzeò-mìsto"""
" ""okres Plzeò-sever""";;" ""Plzeò-sever"""
" ""okres Praha""";;" ""Praha"""
" ""okres Praha-východ""";;" ""Praha-východ"""
" ""okres Praha-západ""";;" ""Praha-západ"""
" ""okres Prachatice""";;" ""Prachatice"""
" ""okres Prostìjov""";;" ""Prostìjov"""
" ""okres Pøerov""";;" ""Pøerov"""
" ""okres Pøíbram""";;" ""Pøíbram"""
" ""okres Rakovník""";;" ""Rakovník"""
" ""okres Rokycany""";;" ""Rokycany"""
" ""okres Rychnov nad Knìžnou""";;" ""Rychnov nad Knìžnou"""
" ""okres Semily""";;" ""Semily"""
" ""okres Sokolov""";;" ""Sokolov"""
" ""okres Strakonice""";;" ""Strakonice"""
" ""okres Svitavy""";;" ""Svitavy"""
" ""okres Šumperk""";;" ""Šumperk"""
" ""okres Tábor""";;" ""Tábor"""
" ""okres Tachov""";;" ""Tachov"""
" ""okres Teplice""";;" ""Teplice"""
" ""okres Trutnov""";;" ""Trutnov"""
" ""okres Tøebíè""";;" ""Tøebíè"""
" ""okres Uherské Hradištì""";;" ""Uherské Hradištì"""
" ""okres Ústí nad Labem""";;" ""Ústí nad Labem"""
" ""okres Ústí nad Orlicí""";;" ""Ústí nad Orlicí"""
" ""okres Vsetín""";;" ""Vsetín"""
" ""okres Vyškov""";;" ""Vyškov"""
" ""okres Zlín""  ";;" ""Zlín""  "
" ""okres Znojmo""";;" ""Znojmo"""
" ""okres Žïár nad Sázavou""";;" ""Žïár nad Sázavou"""
"""okres Èeské Budìjovice""";;"""Èeské Budìjovice"""
